metric,mean,median,std
sisdr_in,5.154965518042445,5.124805927276611,5.155488042875509
snr_in,5.147846994679421,5.131799221038818,5.162743304274392
sir_in,7.259525783459345,7.133046627044678,5.339214819133885
sar_in,12.167772014141082,11.168354511260986,5.919038604064407
sisdr,6.1779584025405345,7.362121820449829,6.565146214424853
snr,2.647574970898374,2.7468955516815186,1.056316861387316
sir,26.513769963582355,26.29451847076416,9.988557276488692
sar,6.500668358678619,7.520446538925171,5.78630238703091
sisdr_impr,1.0229929115374883,1.0007350444793701,6.633523026161831
snr_impr,-2.5002720298369727,-2.2599105834960938,4.852692119179917
sir_impr,19.254244170188905,19.280261039733887,10.792472170475088
sar_impr,-5.667103643019994,-5.712821006774902,6.885662750810861
