idx,ch,sisdr_in,snr_in,sir_in,sar_in,sisdr,snr,sir,sar,sisdr_impr,snr_impr,sir_impr,sar_impr
75,0,11.623836,11.619782,11.858929,24.68053,9.23122,2.9040732,26.74046,9.318167,-2.3926153,-8.71571,14.881531,-15.362364
75,1,3.782435,3.9139805,5.190875,10.50631,4.9897523,4.130782,19.057308,5.21703,1.2073174,0.21680164,13.866433,-5.2892804
75,2,-0.7917023,-0.4974299,1.9416623,4.661489,-1.4250658,1.4806129,26.213303,-1.407205,-0.6333635,1.9780428,24.27164,-6.068694
76,0,9.97178,9.972581,10.209223,23.107601,12.633209,2.8196476,43.643425,12.636841,2.6614294,-7.152933,33.434204,-10.47076
76,1,6.5555344,6.557369,7.1002126,16.615072,16.784872,2.6617289,34.05502,16.868776,10.229338,-3.8956404,26.954807,0.25370407
76,2,-1.816623,-1.84501,-0.8983402,8.86516,9.109041,3.2530406,34.8276,9.122126,10.925664,5.0980506,35.725937,0.25696564
77,0,11.298014,11.287109,15.286845,13.636918,12.165627,2.7718477,34.49637,12.192633,0.86761284,-8.515262,19.209522,-1.4442854
77,1,-0.3125237,-0.27240548,1.7422205,6.1506615,15.648427,2.6960115,38.98746,15.669156,15.960951,2.968417,37.24524,9.518495
77,2,4.488382,4.4901557,5.883899,11.094753,6.8787622,4.3103795,29.715675,6.9060555,2.3903804,-0.17977619,23.831776,-4.188698
78,0,6.2655997,6.261342,6.900448,15.737122,6.4654136,3.4079542,24.343168,6.5527396,0.19981384,-2.8533878,17.44272,-9.1843815
78,1,9.531754,9.498138,11.887311,13.58583,11.993498,2.9161785,26.588194,12.156466,2.4617443,-6.5819597,14.700883,-1.4293642
78,2,1.1687937,1.0244856,3.829807,6.0634985,-0.8408498,2.6068873,18.801306,-0.736571,-2.0096436,1.5824018,14.9714985,-6.8000693
79,0,11.095415,11.094278,11.316881,24.439938,8.664427,3.8188968,37.339233,8.671126,-2.4309883,-7.2753816,26.022352,-15.768811
79,1,4.8185387,4.8463373,6.8628716,9.886219,12.008909,2.2022028,26.290586,12.184238,7.1903706,-2.6441345,19.427715,2.2980194
79,2,0.07460855,0.037535064,4.2424173,3.559626,6.1358075,3.6907794,31.093567,6.1530724,6.061199,3.6532445,26.85115,2.5934463
80,0,9.145514,9.123169,9.478135,20.93312,10.361166,2.8205047,26.182463,10.486799,1.2156525,-6.3026643,16.704327,-10.4463215
80,1,4.824524,4.8008165,5.4549074,14.605981,5.057723,2.8746214,28.111874,5.0859785,0.23319912,-1.9261951,22.656967,-9.520002
80,2,3.5805635,3.5767078,4.7345967,11.159054,7.844391,2.2375984,20.223461,8.144119,4.2638273,-1.3391094,15.488865,-3.0149345
81,0,7.4509997,7.459352,13.090114,9.043505,5.413432,2.9334922,21.697962,5.546103,-2.0375676,-4.52586,8.607848,-3.4974017
81,1,2.9940815,3.0007472,8.722836,4.892132,9.601392,3.149218,31.54921,9.632253,6.6073103,0.14847088,22.826374,4.740121
81,2,7.1810684,7.178796,13.116942,8.665942,4.6979527,3.731094,17.91447,4.9797697,-2.4831157,-3.447702,4.7975283,-3.6861725
82,0,10.445308,10.431967,11.520903,17.329044,10.372043,2.561328,36.348244,10.384034,-0.073265076,-7.870639,24.827341,-6.94501
82,1,3.5924902,3.5688834,4.751015,11.1521225,16.650293,2.806902,37.79236,16.684532,13.057803,-0.7619815,33.041344,5.5324097
82,2,2.6004865,2.5736609,4.5217,8.380959,9.118899,3.3816156,32.328667,9.14223,6.5184126,0.8079548,27.806967,0.7612715
83,0,8.343867,8.365712,10.572816,12.672485,6.341085,2.5119545,22.116919,6.4840937,-2.0027823,-5.853758,11.544103,-6.1883917
83,1,-1.4263486,-1.4062852,1.0776187,4.662035,-29.442272,-0.0028520168,-13.948814,-15.1975975,-28.015924,1.4034332,-15.026433,-19.859632
83,2,7.1039653,7.1060925,12.109691,9.011496,6.7998905,2.2437086,18.812126,7.138836,-0.30407476,-4.862384,6.7024355,-1.8726597
84,0,15.219706,15.228715,16.319689,21.822262,15.39631,2.661271,33.555344,15.465093,0.17660427,-12.567444,17.235655,-6.357169
84,1,-3.776419,-3.850453,-3.4058955,12.136103,7.6927805,1.4450336,26.615593,7.758251,11.469199,5.2954865,30.021488,-4.3778515
84,2,0.25545636,0.26222408,0.87059677,11.644287,6.952098,2.428733,25.68013,7.0224295,6.6966414,2.1665092,24.809534,-4.6218576
