Method,SI-SDR,SIR,DeltaSIR,SAR,SIR(B),DeltaSIR(B),EXP (%),standard_source,mimo_source
Reference,14.09166938829628,50.00476381415309,0.0,14.16570241187431,32.91487985257421,0.0,98.53365968792751,/home/rrame12/Desktop/Research/Baselines/KAMIR/Evaluations/eval_out_kamir/standard_metrics_summary.json,/home/rrame12/Desktop/Research/Baselines/KAMIR/Evaluations/eval_out_kamir/mimo_metrics_summary.json
KAMIR,9.538039397273826,44.89965064629389,-5.105113167859194,9.624386059103653,27.756914425057357,-5.157965427516853,91.08434232558882,/home/rrame12/Desktop/Research/Baselines/KAMIR/Evaluations/eval_out_kamir/standard_metrics_summary.json,/home/rrame12/Desktop/Research/Baselines/KAMIR/Evaluations/eval_out_kamir/mimo_metrics_summary.json
CAE,13.952373707474887,54.34645221327877,4.341688399125687,13.98462295552358,36.12543045458411,3.210550602009903,97.73444112564441,/home/rrame12/Desktop/Research/Baselines/CAE/Evaluations/eval_out_cae/standard_metrics_summary.json,/home/rrame12/Desktop/Research/Baselines/CAE/Evaluations/eval_out_cae/mimo_metrics_summary.json
cGANIR,7.0554365752144665,55.35636643736426,5.351602623211171,7.111014012639903,32.02962932355607,-0.885250529018137,85.88386406194309,/home/rrame12/Desktop/Research/Baselines/cGANIR/Evaluations/eval_out_cganir/standard_metrics_summary.json,/home/rrame12/Desktop/Research/Baselines/cGANIR/Evaluations/eval_out_cganir/mimo_metrics_summary.json
HTDemucs,10.325544174150536,50.604834363844645,0.6000705496915586,10.377687375103804,30.921822009768544,-1.9930578428056656,92.6076699118071,/home/rrame12/Desktop/Research/Baselines/HTdemucs/Evaluations/eval_out_demucs/standard_metrics_summary.json,/home/rrame12/Desktop/Research/Baselines/HTdemucs/Evaluations/eval_out_demucs/mimo_metrics_summary.json
LDWT (Ours),16.169945195585107,57.48084742273349,7.476083608580403,16.242070495152916,38.67096384031863,5.756083987744418,97.59739777921122,/home/rrame12/Desktop/Research/DWT_IR/runs_ablation/results_eval_all/fixed_dwt/standard_metrics_summary.json,/home/rrame12/Desktop/Research/DWT_IR/runs_ablation/results_eval_all/fixed_dwt/mimo_metrics_summary.json
