bleed_nominal_db,bleed_effective_mean_db,bleed_effective_std_db,sisdr_in_mean,sisdr_in_std,sisdr_out_mean,sisdr_out_std,sir_in_mean,sir_in_std,sir_out_mean,sir_out_std,sar_in_mean,sar_in_std,sar_out_mean,sar_out_std,sirb_in_mean,sirb_in_std,sirb_out_mean,sirb_out_std,sisdr_impr_mean,sisdr_impr_std,sir_impr_mean,sir_impr_std,sar_impr_mean,sar_impr_std
-40.0,-36.1472053527832,5.162471294403076,36.148262885378664,5.162832484128483,11.847896179133619,5.546979006133407,38.25290787887184,5.347118981138575,41.72249614833796,8.114470941739011,41.957926603478185,6.656416131181757,11.869320228526364,5.56271620742476,47.3971311823527,7.946051538842906,37.430447317759196,5.506385831732046,-24.300366706245043,7.207512250784089,3.469588269466132,5.889333419815179,-30.088606374951816,7.797220931810873
-20.0,-16.14784049987793,5.1627397537231445,16.150035589236424,5.160906581445292,9.766759003580402,4.724886831187915,18.254680660927484,5.345077840536923,19.099763608984425,5.766561581651094,22.096684293075445,6.5316161540344595,10.996787076760032,4.994893400392579,24.31202457646529,9.08828806323348,24.879930177529655,8.142929666407959,-6.383276585656024,5.138824549383823,0.8450829480569392,2.49671996421825,-11.099897216315409,6.696948390201709
-18.0,-14.147843360900879,5.162740707397461,14.150541960720584,5.160364485739771,9.019361638881547,4.606953889767389,16.25518703427414,5.344502176614734,16.688910023530926,5.518962161851924,20.17001521709956,6.474365538793075,10.684360783249534,4.822393789703389,20.814772650003434,9.066282428516713,21.736827264527477,8.53070752207129,-5.131180321839039,4.633277717951783,0.4337229892567878,2.204697178542085,-9.485654433850026,6.344095775537216
-16.0,-12.147845268249512,5.162741661071777,12.15117567075773,5.159689647212943,8.099678231413623,4.533105560358733,14.255820745385806,5.343784839953099,14.372680594847662,5.381975375435535,18.278205039191697,6.396980134754715,10.298865256825287,4.631824671949778,17.626395514210063,8.64018635852909,18.527770368655524,8.367611286867609,-4.051497439344106,4.114517312148259,0.11685984946185585,2.075911237566536,-7.97933978236641,5.932121962727396
-14.0,-10.147845268249512,5.162741661071777,10.151969177831143,5.158852119898686,7.008873081850021,4.518123119103226,12.256614253730685,5.342893438695218,12.159963142178963,5.312343417054394,16.4352881401797,6.295442858091416,9.831299340445204,4.437797918861813,14.011496563553811,7.635238669753245,14.947715371251107,8.001535278706369,-3.143096095981122,3.610450699643068,-0.09665111155171975,2.0235472107658565,-6.6039887997344975,5.46780094971044
-12.0,-8.147846221923828,5.1627421379089355,8.152934234823606,5.157900014489494,5.751417729757998,4.55793249972148,10.256952291143733,5.3438502736388,10.008791588949629,5.283593998986157,14.663213779456555,6.16227968662648,9.295945216799273,4.2451765587843795,10.784547531145314,6.606943991213675,11.639495332360577,7.178685996073317,-2.4015165050656075,3.146803697522365,-0.24816070219410344,2.0060258318414173,-5.367268562657282,4.964955717841211
-9.0,-5.147846698760986,5.1627421379089355,4.9984850844097215,6.087120984246834,3.520911015003364,4.867282629278612,7.384380000824956,5.579180215918026,7.220975666417723,5.608923848596707,11.94838284212409,6.6868818998501185,8.159792182815293,4.606991827335318,6.510947558760333,5.0719363396972765,6.937510088609222,5.4989863687448945,-1.477574069406359,3.239608253113115,-0.1634043344072337,4.095082375449758,-3.7885906593087966,4.436506838421847
-6.0,-2.1478474140167236,5.162742614746094,1.9605007823987937,6.449318563294782,1.0016190608663793,5.1701937789157,4.597614064390951,6.470090860674471,4.110025867197497,5.494982893370587,9.613320942211038,6.555462739749891,7.107004701498369,4.719740084256509,3.0301460207998754,4.6870197402071065,3.191325502408047,4.714519315448403,-0.958881721532414,3.046732813348903,-0.4875881971934541,4.395663192257519,-2.506316240712669,3.5047912618922683
-3.0,0.8521526455879211,5.162742614746094,-1.0213023781216077,5.861645696730623,-1.7319353292991642,5.506111293007223,2.0074422039464754,7.27574218267184,1.1456459059419908,5.895615793108965,7.512181302387498,6.768069082847458,6.013502020951692,4.996216382346578,-0.32417371032138664,4.080887102976018,-0.269612481854856,4.44049344626384,-0.7106329511775562,2.159560927248986,-0.8617962980044848,5.681099169911207,-1.4986792814358076,3.219425299108348
0.0,3.8521528244018555,5.162742614746094,-4.3823905630260365,6.978244223872782,-4.573495722981621,6.06213844564926,-0.8038893271957898,7.232801573182981,-1.6751405708139253,5.69238213261216,5.4712061034797115,7.667373312572922,4.91431044230529,5.583336312004602,-3.552506278567016,4.283506063005687,-3.5833996949469054,4.720430409701791,-0.19110515995558386,3.332503612694063,-0.8712512436181354,4.672772255676861,-0.5568956611744228,4.499893319817043
