idx,ch,stem,SIRB_in,LTR_in,U_in,U0_in,U_legacy_in,EXP_in,EXP0_in,EXP_legacy_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,U0_out,U_legacy_out,EXP_out,EXP0_out,EXP_legacy_out,RBR_out,RBRpct_out,BR
0,0,Vocal,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,37.227569580078125,-37.22796630859375,0.02359660156071186,0.02305399812757969,0.023082897067070007,97.64034271240234,97.6946029663086,97.69171142578125,0.00018934407853521407,0.018934408202767372,1.30756413936615
0,1,Bass,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,41.29518508911133,-41.29415512084961,0.0023900249507278204,0.0023882410023361444,0.00299356528557837,99.76099395751953,99.76117706298828,99.70063781738281,7.420338079100475e-05,0.007420338224619627,-3.9720404148101807
0,2,Drums,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,52.03528594970703,-52.02416229248047,0.004422576632350683,0.004404864739626646,0.004580837208777666,99.5577392578125,99.55951690673828,99.54191589355469,6.2627341321785934e-06,0.0006262733950279653,-0.8991909027099609
1,0,Vocal,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,39.64601516723633,-39.64460754394531,0.019009485840797424,0.01865549013018608,0.019054219126701355,98.09905242919922,98.13445281982422,98.09457397460938,0.00010849998943740502,0.010849999263882637,5.337995529174805
1,1,Bass,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,49.41413879394531,-49.404544830322266,0.0006322013214230537,0.0006319662206806242,1.9819988665403798e-05,99.93677520751953,99.93679809570312,99.99801635742188,1.1450836609583348e-05,0.0011450836900621653,-1.9232032299041748
1,2,Drums,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,38.13201904296875,-38.13242721557617,0.017603499814867973,0.01730441302061081,0.018547866493463516,98.2396469116211,98.26956176757812,98.14521026611328,0.00015369572793133557,0.015369572676718235,-3.7833008766174316
2,0,Vocal,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,40.70259094238281,-40.70792770385742,0.029824014753103256,0.028974268585443497,0.03007655218243599,97.0176010131836,97.10256958007812,96.99234008789062,8.498350507579744e-05,0.008498350158333778,-3.626041889190674
2,1,Bass,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,51.07445526123047,-51.02727508544922,0.000506447337102145,0.0005062457057647407,0.0004391955735627562,99.94935607910156,99.94937896728516,99.95608520507812,7.857988748583011e-06,0.0007857988821342587,-4.669075965881348
2,2,Drums,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,33.50160217285156,-33.501583099365234,0.02487099915742874,0.02426658384501934,0.02513347566127777,97.51290130615234,97.5733413696289,97.48664855957031,0.00044630729826167226,0.04463072866201401,-17.354459762573242
3,0,Vocal,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,46.55336380004883,-46.54600524902344,0.01312922965735197,0.012962130829691887,0.013450073078274727,98.68707275390625,98.70378875732422,98.65499114990234,2.2123882445157506e-05,0.0022123882081359625,2.131202459335327
