idx,ch,stem,SIRB_in,LTR_in,U_in,U0_in,U_legacy_in,EXP_in,EXP0_in,EXP_legacy_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,U0_out,U_legacy_out,EXP_out,EXP0_out,EXP_legacy_out,RBR_out,RBRpct_out,BR
0,0,Vocal,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,31.789531707763672,-31.78888511657715,0.020429663360118866,0.020429639145731926,0.023542283102869987,97.95703125,97.95703887939453,97.6457748413086,0.0006618808838538826,0.06618808954954147,17.276887893676758
0,1,Bass,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,15.720505714416504,-15.720510482788086,0.3314231336116791,0.3314186632633209,0.32178372144699097,66.85768127441406,66.85813903808594,67.82162475585938,0.026089707389473915,2.6089706420898438,10.895148277282715
0,2,Drums,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,28.89223861694336,-28.89211654663086,0.03096177615225315,0.030961742624640465,0.02889055758714676,96.90382385253906,96.90382385253906,97.11094665527344,0.0012888859491795301,0.1288885921239853,1.0848692655563354
1,0,Vocal,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,33.00068283081055,-33.00025177001953,0.01494415570050478,0.014944097958505154,0.01588970609009266,98.50558471679688,98.5055923461914,98.41102600097656,0.0005008330335840583,0.05008330196142197,19.796180725097656
1,1,Bass,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,8.079170227050781,-8.079170227050781,0.2706012427806854,0.27059030532836914,0.36718568205833435,72.93987274169922,72.94097137451172,63.281429290771484,0.13466836512088776,13.466836929321289,-2.038938522338867
1,2,Drums,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,28.940773010253906,-28.940826416015625,0.04707241430878639,0.0470723994076252,0.049100302159786224,95.29275512695312,95.29275512695312,95.08997344970703,0.0012746202992275357,0.12746202945709229,11.64896297454834
2,0,Vocal,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,33.37578582763672,-33.37598419189453,0.013579263351857662,0.013579263351857662,0.01576080545783043,98.64207458496094,98.64207458496094,98.42391967773438,0.00045941572170704603,0.04594157263636589,10.218000411987305
2,1,Bass,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,28.366622924804688,-28.366392135620117,0.038724545389413834,0.038724128156900406,0.03646300360560417,96.12754821777344,96.1275863647461,96.35369873046875,0.0014544896548613906,0.1454489678144455,5.3593220710754395
2,2,Drums,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,30.907649993896484,-30.907611846923828,0.01976017653942108,0.019760165363550186,0.027617815881967545,98.02397918701172,98.02397918701172,97.23822021484375,0.000810774159617722,0.08107741922140121,3.7765626907348633
3,0,Vocal,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,35.23972702026367,-35.23896408081055,0.010450606234371662,0.010450568050146103,0.01104559376835823,98.95494079589844,98.95494842529297,98.89543914794922,0.00029913734761066735,0.029913734644651413,12.114808082580566
