idx,ch,stem,SIRB_in,LTR_in,U_in,EXP_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,EXP_out,RBR_out,RBRpct_out,BR
0,0,Vocal,26.027000427246094,-26.02696990966797,0.0006545186042785645,99.9345474243164,0.0024901130236685276,0.2490113079547882,34.76697540283203,-34.7667121887207,0.05379670858383179,94.62033081054688,0.0003335860965307802,0.0333586111664772,-3.8215670585632324
0,1,Bass,10.525848388671875,-10.525848388671875,0.007761716842651367,99.22383117675781,0.08138576149940491,8.13857650756836,11.779138565063477,-11.779138565063477,0.01433098316192627,98.56690216064453,0.06225450709462166,6.22545051574707,-29.187721252441406
0,2,Drums,16.095672607421875,-16.09566879272461,0.12289959192276001,87.71003723144531,0.023982321843504906,2.3982322216033936,16.4449405670166,-16.444936752319336,0.07805085182189941,92.19491577148438,0.02217021770775318,2.2170217037200928,-30.495620727539062
1,0,Vocal,16.295385360717773,-16.295379638671875,0.0007835626602172852,99.92164611816406,0.022929171100258827,2.292917013168335,16.282140731811523,-16.282127380371094,0.024071872234344482,97.59281158447266,0.022997591644525528,2.2997591495513916,-12.799789428710938
1,1,Bass,35.61182403564453,-35.61175537109375,0.009376227855682373,99.0623779296875,0.0002745686797425151,0.027456868439912796,35.1838264465332,-35.18516540527344,0.008026719093322754,99.19732666015625,0.0003029777726624161,0.030297776684165,-30.713947296142578
1,2,Drums,4.280974388122559,-4.2809739112854,0.06181997060775757,93.81800079345703,0.2717561423778534,27.175613403320312,4.013555526733398,-4.01355504989624,0.0,100.0,0.28411200642585754,28.41120147705078,-30.849706649780273
2,0,Vocal,22.203752517700195,-22.203765869140625,0.006807208061218262,99.31928253173828,0.005984316114336252,0.5984315872192383,35.5518913269043,-35.55070495605469,0.0380939245223999,96.19060516357422,0.00027841771952807903,0.027841772884130478,0.507716953754425
2,1,Bass,14.042181015014648,-14.042184829711914,0.022287487983703613,97.77124786376953,0.037930458784103394,3.793045997619629,16.026744842529297,-16.02674102783203,0.022457242012023926,97.7542724609375,0.024356625974178314,2.4356625080108643,-28.489871978759766
2,2,Drums,14.421058654785156,-14.421053886413574,0.018419981002807617,98.15800476074219,0.034872185438871384,3.4872186183929443,16.205608367919922,-16.205602645874023,0.044038474559783936,95.59615325927734,0.023396877571940422,2.3396878242492676,-28.16326141357422
3,0,Vocal,24.788311004638672,-24.788318634033203,0.015609979629516602,98.43900299072266,0.003309238236397505,0.33092382550239563,23.809261322021484,-23.80937957763672,0.04003870487213135,95.99613189697266,0.004142508842051029,0.4142508804798126,-13.79465103149414
3,1,Bass,10.722843170166016,-10.722841262817383,0.01864147186279297,98.13584899902344,0.07805831730365753,7.8058319091796875,11.256410598754883,-11.256409645080566,0.020403563976287842,97.95964050292969,0.06966257840394974,6.9662580490112305,-30.837705612182617
3,2,Drums,35.451683044433594,-35.4512825012207,0.019131004810333252,98.08689880371094,0.0002849478041753173,0.028494780883193016,33.73094177246094,-33.73113250732422,0.026625990867614746,97.33740234375,0.0004233421350363642,0.042334213852882385,-31.689294815063477
