idx,ch,stem,SIRB_in,LTR_in,U_in,EXP_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,EXP_out,RBR_out,RBRpct_out,BR
0,0,Vocal,17.019817352294922,-17.01983642578125,0.008831501007080078,99.11685180664062,0.019474966451525688,1.9474966526031494,15.823897361755371,-15.823897361755371,0.08410191535949707,91.58980560302734,0.025491539388895035,2.549154043197632,-3.697267532348633
0,1,Bass,1.3233178853988647,-1.3233190774917603,0.03368544578552246,96.63145446777344,0.42440763115882874,42.44076156616211,22.30597686767578,-22.305950164794922,0.5485907793045044,45.14092254638672,0.005846013780683279,0.5846014022827148,24.13114356994629
0,2,Drums,-0.6723365783691406,0.6723365783691406,0.0700652003288269,92.99347686767578,0.5386257171630859,53.862571716308594,25.568866729736328,-25.56877326965332,0.4453433156013489,55.465667724609375,0.0027663945220410824,0.276639461517334,30.058826446533203
1,0,Vocal,7.280515670776367,-7.280514717102051,0.005451798439025879,99.45481872558594,0.1575726568698883,15.7572660446167,30.11444091796875,-30.11423110961914,0.11447304487228394,88.55269622802734,0.0009730829042382538,0.09730829298496246,21.444637298583984
1,1,Bass,12.840656280517578,-12.84066390991211,0.022593140602111816,97.74068450927734,0.04942212253808975,4.942212104797363,39.97046661376953,-39.97053527832031,0.009474396705627441,99.05255889892578,0.00010072432633023709,0.010072432458400726,22.558271408081055
1,2,Drums,-4.716185092926025,4.716184616088867,0.1390213966369629,86.09786224365234,0.747616708278656,74.76167297363281,24.65772247314453,-24.65773582458496,0.2776276469230652,72.23723602294922,0.0034099167678505182,0.34099167585372925,28.46748161315918
2,0,Vocal,10.238502502441406,-10.238508224487305,0.005233407020568848,99.4766616821289,0.08647123724222183,8.647123336791992,33.609703063964844,-33.60961151123047,0.054151177406311035,94.58488464355469,0.0004353686235845089,0.04353686422109604,20.56024169921875
2,1,Bass,3.4800755977630615,-3.4800755977630615,0.033501625061035156,96.64984130859375,0.3097439110279083,30.97439193725586,31.5113525390625,-31.511295318603516,0.05021125078201294,94.97887420654297,0.000705590529832989,0.0705590546131134,23.829742431640625
2,2,Drums,4.054874897003174,-4.054873943328857,0.03733450174331665,96.26654815673828,0.2821808457374573,28.21808433532715,30.063085556030273,-30.063077926635742,0.1193399429321289,88.06600952148438,0.0009845958556979895,0.09845958650112152,23.57327651977539
3,0,Vocal,8.402610778808594,-8.402610778808594,0.023127079010009766,97.68729400634766,0.12622325122356415,12.62232494354248,21.824222564697266,-21.824222564697266,0.21605074405670166,78.39492797851562,0.006527321878820658,0.6527321934700012,11.797773361206055
3,1,Bass,1.7147566080093384,-1.7147566080093384,0.06285589933395386,93.71440887451172,0.40255340933799744,40.255340576171875,-14.94830322265625,14.94830322265625,0.5260143280029297,47.39856719970703,0.9689908623695374,96.89908599853516,41.37557601928711
3,2,Drums,8.811847686767578,-8.811849594116211,0.03412133455276489,96.5878677368164,0.11619123816490173,11.619123458862305,25.670055389404297,-25.670074462890625,0.11055028438568115,88.9449691772461,0.0027028194162994623,0.27028194069862366,14.1358642578125
4,0,Vocal,6.961398124694824,-6.961398601531982,0.006598353385925293,99.34016418457031,0.1675737053155899,16.757369995117188,13.064937591552734,-13.06493854522705,0.18483400344848633,81.5166015625,0.047051697969436646,4.705169677734375,5.4366679191589355
4,1,Bass,9.987781524658203,-9.987780570983887,0.019009292125701904,98.09906768798828,0.09114189445972443,9.114189147949219,27.198707580566406,-27.198684692382812,0.08365523815155029,91.63447570800781,0.0019023993518203497,0.19023993611335754,13.432796478271484
4,2,Drums,-0.22378075122833252,0.22378109395503998,0.08084404468536377,91.91559600830078,0.5128790140151978,51.28790283203125,25.014602661132812,-25.014549255371094,0.40345466136932373,59.65453338623047,0.003141778986901045,0.31417790055274963,29.175737380981445
5,0,Vocal,9.541095733642578,-9.541095733642578,0.004472613334655762,99.55274200439453,0.10002756118774414,10.002756118774414,30.357009887695312,-30.356874465942383,0.13084465265274048,86.91553497314453,0.0009202856454066932,0.09202856570482254,18.149038314819336
5,1,Bass,4.294660568237305,-4.294660568237305,0.030417978763580322,96.95819854736328,0.2711329460144043,27.11329460144043,24.863033294677734,-24.863035202026367,0.0635111927986145,93.64888000488281,0.0032529907766729593,0.32529908418655396,16.35260581970215
5,2,Drums,3.9291434288024902,-3.9291441440582275,0.05171775817871094,94.8282241821289,0.28808173537254333,28.80817413330078,29.032011032104492,-29.032032012939453,0.14705324172973633,85.294677734375,0.0012481301091611385,0.124813012778759,22.362218856811523
6,0,Vocal,10.487323760986328,-10.487322807312012,0.010707855224609375,98.92921447753906,0.08205138891935349,8.20513916015625,13.033594131469727,-13.033592224121094,0.025153517723083496,97.48464965820312,0.0473763570189476,4.737635612487793,-1.8595736026763916
6,1,Bass,0.5521634817123413,-0.552163302898407,0.0,100.0,0.46825769543647766,46.82577133178711,19.719297409057617,-19.719337463378906,0.6583157777786255,34.16842269897461,0.010555032640695572,1.055503249168396,41.854156494140625
6,2,Drums,5.947593688964844,-5.947594165802002,0.037530362606048584,96.24696350097656,0.20270323753356934,20.27032470703125,28.860580444335938,-28.860401153564453,0.030243635177612305,96.97563934326172,0.001298323506489396,0.12983235716819763,18.721437454223633
7,0,Vocal,10.057718276977539,-10.057718276977539,0.02669072151184082,97.33092498779297,0.08981672674417496,8.981672286987305,25.528701782226562,-25.528715133666992,0.17400187253952026,82.59981536865234,0.0027919805143028498,0.2791980504989624,12.232513427734375
7,1,Bass,-1.2849912643432617,1.2849913835525513,0.06843322515487671,93.15667724609375,0.5734350681304932,57.343505859375,25.46666717529297,-25.466630935668945,0.15242266654968262,84.75773620605469,0.0028320804703980684,0.28320804238319397,24.222145080566406
7,2,Drums,9.684539794921875,-9.684538841247559,0.06803393363952637,93.19660949707031,0.09709322452545166,9.709321975708008,25.50172996520996,-25.501689910888672,0.16425198316574097,83.57479858398438,0.002809352707117796,0.28093525767326355,13.244608879089355
8,0,Vocal,11.058052062988281,-11.058053016662598,0.0011368989944458008,99.88630676269531,0.07268152385950089,7.268152236938477,19.32549285888672,-19.325498580932617,0.10097998380661011,89.9020004272461,0.011545349843800068,1.154534935951233,5.008332252502441
8,1,Bass,2.4072089195251465,-2.4072086811065674,0.007754087448120117,99.22459411621094,0.36487194895744324,36.4871940612793,20.061025619506836,-20.06108283996582,0.38534605503082275,61.46539306640625,0.009764143265783787,0.9764143228530884,18.83377456665039
8,2,Drums,4.497058868408203,-4.497058868408203,0.0072994232177734375,99.27005767822266,0.26202186942100525,26.202186584472656,25.189563751220703,-25.189502716064453,0.16521382331848145,83.4786148071289,0.003018107498064637,0.30181074142456055,18.565326690673828
9,0,Vocal,9.658458709716797,-9.65845775604248,0.02999979257583618,97.0000228881836,0.09762099385261536,9.762099266052246,29.520919799804688,-29.520816802978516,0.13403326272964478,86.59667205810547,0.001115377526730299,0.11153775453567505,16.80991554260254
9,1,Bass,2.717362642288208,-2.7173619270324707,0.09319305419921875,90.68069458007812,0.34848713874816895,34.84871292114258,16.260028839111328,-16.260034561157227,0.17886632680892944,82.11336517333984,0.023112256079912186,2.311225652694702,11.462669372558594
9,2,Drums,7.2375993728637695,-7.2375993728637695,0.05756425857543945,94.24357604980469,0.15888887643814087,15.888887405395508,29.788997650146484,-29.788944244384766,0.17448419332504272,82.55158233642578,0.001048660953529179,0.10486609488725662,20.579853057861328
10,0,Vocal,9.840092658996582,-9.840093612670898,0.023633718490600586,97.63662719726562,0.0939982607960701,9.399826049804688,20.383590698242188,-20.383663177490234,0.03620785474777222,96.37921142578125,0.00907153356820345,0.9071533679962158,6.521367073059082
10,1,Bass,8.294537544250488,-8.294537544250488,0.026346683502197266,97.3653335571289,0.12899348139762878,12.899348258972168,36.018795013427734,-36.018714904785156,0.019722580909729004,98.02774047851562,0.00025002716574817896,0.02500271610915661,23.22229766845703
