idx,ch,stem,lag_in,lag_out,sisdr_in,sisnr_in,sir_in,sar_in,sisdr,sisnr,sir,sar,sisdr_impr,sisnr_impr,sir_impr,sar_impr
0,0,Vocal,0,0,18.06870978551926,18.06870978551926,18.841724402456084,26.001788462185743,9.273153693333168,9.273153693333168,18.337159709306373,9.911591331673396,-8.795556092186093,-8.795556092186093,-0.5045646931497103,-16.090197130512347
0,1,Bass,0,0,3.8501666789020854,3.8501666789020854,7.140423628248889,7.364520986301506,3.1759318324222745,3.1759318324222745,7.095863072033919,6.208820362868454,-0.6742348464798109,-0.6742348464798109,-0.04456055621496979,-1.1557006234330522
0,2,Drums,0,0,1.6764423834524846,1.6764423834524846,9.327575107461536,2.974351721383969,2.198604678761136,2.1986046787611357,8.698842361776226,3.8489026155945227,0.5221622953086515,0.5221622953086511,-0.6287327456853102,0.8745508942105538
1,0,Vocal,0,0,10.102266818494765,10.102266818494765,10.235615378323786,25.689758048131417,7.125228536279289,7.125228536279289,10.12485880013717,10.548947690394407,-2.977038282215476,-2.977038282215476,-0.11075657818661533,-15.14081035773701
1,1,Bass,0,0,14.119695451151077,14.119695451151077,16.957159559840974,17.396637813888855,14.143973185086473,14.143973185086473,17.88184719508649,16.60143818495868,0.024277733935395673,0.024277733935395673,0.9246876352455153,-0.7951996289301739
1,2,Drums,0,0,-2.3871699408550393,-2.3871699408550393,0.40952651936864176,3.6581473540803664,-4.397209108130146,-4.397209108130146,-1.1466257264390358,2.0067525524570793,-2.0100391672751066,-2.0100391672751066,-1.5561522458076775,-1.6513948016232871
2,0,Vocal,0,0,12.99316048797021,12.99316048797021,13.96855101391873,20.12854083156928,8.829503543073628,8.829503543073628,13.910266163364149,10.616552971428451,-4.163656944896582,-4.163656944896582,-0.05828485055458188,-9.511987860140827
2,1,Bass,0,0,6.067373595538639,6.067373595538639,8.937783805085571,9.744190256805593,6.978097308038837,6.978097308038837,11.888112106730526,8.94368313922681,0.9107237125001983,0.9107237125001983,2.950328301644955,-0.8005071175787837
2,2,Drums,0,0,6.490885437464129,6.490885437464129,13.530483189214102,7.636085572878844,4.2293112200028045,4.2293112200028045,9.990258114131038,5.983631228991419,-2.261574217461325,-2.261574217461325,-3.5402250750830646,-1.6524543438874257
3,0,Vocal,0,0,10.748673970862514,10.748673970862514,12.307738580902093,16.202168407232357,8.45266621488403,8.452666214884031,12.054042223112804,11.205318379238868,-2.2960077559784846,-2.296007755978483,-0.25369635778928945,-4.996850027993489
3,1,Bass,0,0,4.294301047906359,4.294301047906361,5.729540478368934,10.829668717569913,4.435059007165794,4.435059007165793,6.0793261446868385,10.406822314124877,0.14075795925943524,0.14075795925943257,0.34978566631790464,-0.42284640344503543
