Frontend,Subband,Input SIR,Target energy %,Output target/error,Error energy %
LDWT,A2,6.033530970906636,59.39026516114654,12.65637636920399,51.20702901040649
LDWT,D2,6.1085477327202895,39.830843630883315,12.223245153810963,37.94433460654995
LDWT,D1,6.097830592121745,0.7788912079701432,0.5735360032928278,10.848636383043566
Fixed-haar,A2,6.044914593393363,92.27590532601911,2.692560168150023,86.79708492424687
Fixed-haar,D2,6.049090489345815,5.852898762405103,0.1264910910782769,9.94019135155562
Fixed-haar,D1,6.049488925648669,1.8711959115757808,0.012118007559315719,3.262723724197522
Fixed-db2,A2,6.046777681859248,94.24813559971292,2.909602408556921,89.41629101268109
Fixed-db2,D2,6.014883917226996,4.364224448619612,0.046114608290241034,8.005707923984637
Fixed-db2,D1,6.043942525082309,1.3876399516674622,-0.009021725830808907,2.578001063334274
Fixed-db4,A2,6.047464962535221,94.78022166955235,7.127210893461259,77.92899744409046
Fixed-db4,D2,5.989770716717944,3.9736431792128224,0.22717234264989172,16.001993523903316
Fixed-db4,D1,6.053007103798729,1.2461351512348282,-0.5985017861107604,6.069009032006223
Fixed-db8,A2,6.047816870236864,94.92221308537809,7.681613227556876,76.76387779523992
Fixed-db8,D2,5.973408673711022,3.884063254134798,0.2609736358633206,17.343602185732806
Fixed-db8,D1,6.0641815911308985,1.1937236604871126,-0.17446891641712542,5.892520019027272
Fixed-sym4,A2,6.047464962535232,94.78022166954052,2.6321183885427173,90.82536113976215
Fixed-sym4,D2,5.989770716718059,3.9736431792220834,-0.0016230595617532887,6.9831669385121655
Fixed-sym4,D1,6.053007103798657,1.2461351512374017,-0.004695116063895963,2.1914719217256953
Fixed-coif1,A2,6.046823017152718,94.28619797496172,3.0114310448204025,89.21177506671759
Fixed-coif1,D2,6.01343241976439,4.3358667427727555,0.04632797998723995,8.120079663456668
Fixed-coif1,D1,6.0443478837679745,1.377935282265512,-0.09863489296891904,2.668145269825733
