Wavelet,L1 corr,L2 corr,L1 spec dist,L2 spec dist
haar,0.7426910086648282,0.5937558298851644,0.6420621218341268,0.6029911909742734
db2,0.7584522183439253,0.5300665934778455,0.624645681257298,0.6748565759855941
db4,0.7718416855129023,0.5506381644484182,0.6220553376764525,0.7222867010448887
db8,0.7590072443807748,0.5977814085610935,0.6244230157534668,0.7450289111981758
sym4,0.7724828888929072,0.5698785558282436,0.6220553376767068,0.7222867010443607
coif1,0.7576868334613965,0.5483339060848541,0.6242628725503405,0.6770730881266117
