idx,ch,stem,SIRB_in,LTR_in,U_in,EXP_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,EXP_out,RBR_out,RBRpct_out,BR
0,0,Vocal,17.019817352294922,-17.01983642578125,0.008831501007080078,99.11685180664062,0.019474966451525688,1.9474966526031494,4.219481468200684,-4.219480037689209,0.0,100.0,0.2745673954486847,27.45673942565918,-21.155780792236328
0,1,Bass,1.3233178853988647,-1.3233190774917603,0.03368544578552246,96.63145446777344,0.42440763115882874,42.44076156616211,35.99298095703125,-35.992496490478516,0.016099631786346436,98.3900375366211,0.00025159434881061316,0.025159435346722603,14.439473152160645
0,2,Drums,-0.6723365783691406,0.6723365783691406,0.0700652003288269,92.99347686767578,0.5386257171630859,53.862571716308594,25.04537582397461,-25.04530143737793,0.10410988330841064,89.5890121459961,0.003119673812761903,0.3119673728942871,10.027376174926758
1,0,Vocal,7.280515670776367,-7.280514717102051,0.005451798439025879,99.45481872558594,0.1575726568698883,15.7572660446167,32.60316467285156,-32.60398483276367,0.03311777114868164,96.68822479248047,0.0005488027236424387,0.05488027259707451,17.790122985839844
1,1,Bass,12.840656280517578,-12.84066390991211,0.022593140602111816,97.74068450927734,0.04942212253808975,4.942212104797363,52.379459381103516,-52.34574890136719,0.00047463178634643555,99.9525375366211,5.776464604423381e-06,0.000577646482270211,18.897085189819336
1,2,Drums,-4.716185092926025,4.716184616088867,0.1390213966369629,86.09786224365234,0.747616708278656,74.76167297363281,14.027300834655762,-14.027303695678711,0.16083014011383057,83.91698455810547,0.038055721670389175,3.805572271347046,4.520135879516602
2,0,Vocal,10.238502502441406,-10.238508224487305,0.005233407020568848,99.4766616821289,0.08647123724222183,8.647123336791992,31.48682403564453,-31.486780166625977,0.03250652551651001,96.74934387207031,0.0007096236222423613,0.07096236199140549,13.548408508300781
2,1,Bass,3.4800755977630615,-3.4800755977630615,0.033501625061035156,96.64984130859375,0.3097439110279083,30.97439193725586,44.17168045043945,-44.1690788269043,0.0057242512702941895,99.42757415771484,3.829144043265842e-05,0.0038291439414024353,20.068334579467773
2,2,Drums,4.054874897003174,-4.054873943328857,0.03733450174331665,96.26654815673828,0.2821808457374573,28.21808433532715,28.95237922668457,-28.95240592956543,0.052566707134246826,94.74333190917969,0.0012712128227576613,0.12712128460407257,9.119694709777832
3,0,Vocal,8.402610778808594,-8.402610778808594,0.023127079010009766,97.68729400634766,0.12622325122356415,12.62232494354248,30.05651092529297,-30.056304931640625,0.0348241925239563,96.517578125,0.0009861149592325091,0.0986114963889122,13.981931686401367
3,1,Bass,1.7147566080093384,-1.7147566080093384,0.06285589933395386,93.71440887451172,0.40255340933799744,40.255340576171875,30.67375373840332,-30.673845291137695,0.01508784294128418,98.49121856689453,0.0008555742679163814,0.08555742353200912,8.67566204071045
3,2,Drums,8.811847686767578,-8.811849594116211,0.03412133455276489,96.5878677368164,0.11619123816490173,11.619123458862305,36.28020477294922,-36.28010559082031,0.025644123554229736,97.43558502197266,0.00023544742725789547,0.02354474365711212,11.585155487060547
4,0,Vocal,6.961398124694824,-6.961398601531982,0.006598353385925293,99.34016418457031,0.1675737053155899,16.757369995117188,18.80355453491211,-18.803544998168945,0.05587369203567505,94.41262817382812,0.013000519946217537,1.3000520467758179,4.597668170928955
4,1,Bass,9.987781524658203,-9.987780570983887,0.019009292125701904,98.09906768798828,0.09114189445972443,9.114189147949219,33.842464447021484,-33.842288970947266,0.004559338092803955,99.5440673828125,0.00041261810110881925,0.041261810809373856,3.475733995437622
4,2,Drums,-0.22378075122833252,0.22378109395503998,0.08084404468536377,91.91559600830078,0.5128790140151978,51.28790283203125,14.53703498840332,-14.537031173706055,0.04280167818069458,95.71983337402344,0.033984486013650894,3.3984487056732178,-0.7025792002677917
5,0,Vocal,9.541095733642578,-9.541095733642578,0.004472613334655762,99.55274200439453,0.10002756118774414,10.002756118774414,29.397907257080078,-29.397974014282227,0.021170854568481445,97.8829116821289,0.0011473949998617172,0.11473949998617172,11.95047664642334
5,1,Bass,4.294660568237305,-4.294660568237305,0.030417978763580322,96.95819854736328,0.2711329460144043,27.11329460144043,34.14791488647461,-34.147071838378906,0.003663957118988037,99.63360595703125,0.0003846408799290657,0.03846408799290657,9.187554359436035
5,2,Drums,3.9291434288024902,-3.9291441440582275,0.05171775817871094,94.8282241821289,0.28808173537254333,28.80817413330078,23.52056121826172,-23.52054786682129,0.08914339542388916,91.08566284179688,0.004426104947924614,0.442610502243042,3.940248727798462
6,0,Vocal,10.487323760986328,-10.487322807312012,0.010707855224609375,98.92921447753906,0.08205138891935349,8.20513916015625,31.098386764526367,-31.09811782836914,0.010049760341644287,98.99502563476562,0.0007759525906294584,0.07759525626897812,12.363993644714355
6,1,Bass,0.5521634817123413,-0.552163302898407,0.0,100.0,0.46825769543647766,46.82577133178711,25.681114196777344,-25.681106567382812,0.018944501876831055,98.10555267333984,0.0026960030663758516,0.2696003019809723,4.799872398376465
6,2,Drums,5.947593688964844,-5.947594165802002,0.037530362606048584,96.24696350097656,0.20270323753356934,20.27032470703125,32.488136291503906,-32.48834228515625,0.02608358860015869,97.39163970947266,0.0005635567358694971,0.05635567381978035,9.881677627563477
7,0,Vocal,10.057718276977539,-10.057718276977539,0.02669072151184082,97.33092498779297,0.08981672674417496,8.981672286987305,35.796749114990234,-35.79660415649414,0.03300011157989502,96.69998931884766,0.00026315488503314555,0.026315487921237946,17.724672317504883
7,1,Bass,-1.2849912643432617,1.2849913835525513,0.06843322515487671,93.15667724609375,0.5734350681304932,57.343505859375,36.65317916870117,-36.653411865234375,0.016672253608703613,98.33277130126953,0.00021607676171697676,0.02160767652094364,17.371183395385742
7,2,Drums,9.684539794921875,-9.684538841247559,0.06803393363952637,93.19660949707031,0.09709322452545166,9.709321975708008,26.826766967773438,-26.82669448852539,0.09867674112319946,90.13232421875,0.002072159433737397,0.20721594989299774,3.0036089420318604
8,0,Vocal,11.058052062988281,-11.058053016662598,0.0011368989944458008,99.88630676269531,0.07268152385950089,7.268152236938477,38.749961853027344,-38.74653625488281,0.009977579116821289,99.00224304199219,0.00013337556447368115,0.013337556272745132,19.601806640625
8,1,Bass,2.4072089195251465,-2.4072086811065674,0.007754087448120117,99.22459411621094,0.36487194895744324,36.4871940612793,38.10515594482422,-38.10832595825195,0.008340001106262207,99.16600036621094,0.0001546109124319628,0.015461090952157974,15.246039390563965
8,2,Drums,4.497058868408203,-4.497058868408203,0.0072994232177734375,99.27005767822266,0.26202186942100525,26.202186584472656,32.172637939453125,-32.172664642333984,0.06744742393493652,93.25525665283203,0.0006059979205019772,0.06059979274868965,12.521958351135254
