idx,ch,stem,SIRB_in,LTR_in,U_in,U0_in,U_legacy_in,EXP_in,EXP0_in,EXP_legacy_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,U0_out,U_legacy_out,EXP_out,EXP0_out,EXP_legacy_out,RBR_out,RBRpct_out,BR
0,0,Vocal,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,20.992786407470703,-20.99278450012207,0.06505885720252991,0.06505880504846573,0.06297963857650757,93.4941177368164,93.4941177368164,93.70203399658203,0.007893676869571209,0.78936767578125,6.064647674560547
0,1,Bass,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,13.567453384399414,-13.567452430725098,0.3752962052822113,0.3752959370613098,0.3086472153663635,62.470375061035156,62.47040557861328,69.1352767944336,0.04212722182273865,4.212722301483154,0.2881489396095276
0,2,Drums,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,15.730265617370605,-15.73025894165039,0.39769524335861206,0.3976894021034241,0.37692251801490784,60.23047637939453,60.23106002807617,62.3077507019043,0.02603268250823021,2.6032681465148926,-8.736584663391113
1,0,Vocal,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,32.5324821472168,-32.53229522705078,0.010708565823733807,0.01070855651050806,0.010041988454759121,98.92914581298828,98.92914581298828,98.99579620361328,0.0005578150157816708,0.05578150227665901,18.83540153503418
1,1,Bass,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,14.036991119384766,-14.036991119384766,0.09429039806127548,0.09429027885198593,0.10193998366594315,90.57096099853516,90.57097625732422,89.80599975585938,0.03797413408756256,3.7974133491516113,-8.644908905029297
1,2,Drums,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,17.09807014465332,-17.09807586669922,0.18653418123722076,0.18653365969657898,0.185021311044693,81.3465805053711,81.34663391113281,81.49787139892578,0.01913384534418583,1.9133845567703247,0.21484386920928955
2,0,Vocal,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,20.636493682861328,-20.63645362854004,0.03098008781671524,0.030979836359620094,0.038294099271297455,96.90199279785156,96.90201568603516,96.17059326171875,0.008562824688851833,0.8562824726104736,-2.8599693775177
2,1,Bass,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,19.534833908081055,-19.534826278686523,0.054437149316072464,0.05443669855594635,0.07936745136976242,94.55628204345703,94.55633544921875,92.0632553100586,0.011008025147020817,1.1008025407791138,-8.377501487731934
2,2,Drums,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,5.465277671813965,-5.46527624130249,0.4139752984046936,0.41397130489349365,0.42980334162712097,58.60247039794922,58.60287094116211,57.01966094970703,0.2212449014186859,22.12449073791504,-17.604991912841797
3,0,Vocal,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,16.120878219604492,-16.120861053466797,0.16697630286216736,0.1669759899377823,0.16871170699596405,83.3023681640625,83.30239868164062,83.12882995605469,0.02384684793651104,2.3846848011016846,-6.141656398773193
