idx,ch,stem,SIRB_in,LTR_in,U_in,EXP_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,EXP_out,RBR_out,RBRpct_out,BR
0,0,Vocal,17.019817352294922,-17.01983642578125,0.008831501007080078,99.11685180664062,0.019474966451525688,1.9474966526031494,29.692230224609375,-29.69217300415039,0.00858980417251587,99.14102172851562,0.0010722959414124489,0.10722959041595459,13.52481460571289
0,1,Bass,1.3233178853988647,-1.3233190774917603,0.03368544578552246,96.63145446777344,0.42440763115882874,42.44076156616211,17.120040893554688,-17.12003517150879,0.21969419717788696,78.03057861328125,0.019039208069443703,1.9039207696914673,15.718339920043945
0,2,Drums,-0.6723365783691406,0.6723365783691406,0.0700652003288269,92.99347686767578,0.5386257171630859,53.862571716308594,16.85218620300293,-16.85218048095703,0.33526015281677246,66.47398376464844,0.020225906744599342,2.0225906372070312,17.170312881469727
1,0,Vocal,7.280515670776367,-7.280514717102051,0.005451798439025879,99.45481872558594,0.1575726568698883,15.7572660446167,31.731220245361328,-31.731969833374023,0.09366774559020996,90.63322448730469,0.0006707235588692129,0.06707235425710678,25.14065933227539
1,1,Bass,12.840656280517578,-12.84066390991211,0.022593140602111816,97.74068450927734,0.04942212253808975,4.942212104797363,31.397933959960938,-31.398101806640625,0.045017361640930176,95.49826049804688,0.000724262441508472,0.07242624461650848,19.310527801513672
1,2,Drums,-4.716185092926025,4.716184616088867,0.1390213966369629,86.09786224365234,0.747616708278656,74.76167297363281,16.431385040283203,-16.431385040283203,0.4566500186920166,54.334999084472656,0.022237926721572876,2.223792552947998,19.235315322875977
2,0,Vocal,10.238502502441406,-10.238508224487305,0.005233407020568848,99.4766616821289,0.08647123724222183,8.647123336791992,25.642772674560547,-25.64275360107422,0.05802583694458008,94.19741821289062,0.0027198134921491146,0.2719813585281372,16.156173706054688
2,1,Bass,3.4800755977630615,-3.4800755977630615,0.033501625061035156,96.64984130859375,0.3097439110279083,30.97439193725586,16.402050018310547,-16.40204620361328,0.19138598442077637,80.86140441894531,0.022385314106941223,2.2385313510894775,13.368691444396973
2,2,Drums,4.054874897003174,-4.054873943328857,0.03733450174331665,96.26654815673828,0.2821808457374573,28.21808433532715,16.999176025390625,-16.999168395996094,0.1527191400527954,84.72808837890625,0.019565949216485023,1.9565949440002441,13.346896171569824
3,0,Vocal,8.402610778808594,-8.402610778808594,0.023127079010009766,97.68729400634766,0.12622325122356415,12.62232494354248,22.121370315551758,-22.121349334716797,0.061390697956085205,93.86093139648438,0.006098303943872452,0.609830379486084,14.322159767150879
3,1,Bass,1.7147566080093384,-1.7147566080093384,0.06285589933395386,93.71440887451172,0.40255340933799744,40.255340576171875,15.58846664428711,-15.58846664428711,0.17146825790405273,82.8531723022461,0.026873398572206497,2.6873397827148438,13.621437072753906
3,2,Drums,8.811847686767578,-8.811849594116211,0.03412133455276489,96.5878677368164,0.11619123816490173,11.619123458862305,25.42852020263672,-25.42850112915039,0.07582730054855347,92.41726684570312,0.0028570157010108232,0.28570157289505005,17.293272018432617
4,0,Vocal,6.961398124694824,-6.961398601531982,0.006598353385925293,99.34016418457031,0.1675737053155899,16.757369995117188,22.411319732666016,-22.41132354736328,0.05572706460952759,94.42729187011719,0.0057066562585532665,0.5706655979156494,15.903441429138184
4,1,Bass,9.987781524658203,-9.987780570983887,0.019009292125701904,98.09906768798828,0.09114189445972443,9.114189147949219,25.24776268005371,-25.247669219970703,0.0384637713432312,96.15362548828125,0.0029780284967273474,0.2978028357028961,15.827740669250488
4,2,Drums,-0.22378075122833252,0.22378109395503998,0.08084404468536377,91.91559600830078,0.5128790140151978,51.28790283203125,16.34340476989746,-16.343406677246094,0.21461832523345947,78.53816986083984,0.02268272265791893,2.2682721614837646,15.56728458404541
5,0,Vocal,9.541095733642578,-9.541095733642578,0.004472613334655762,99.55274200439453,0.10002756118774414,10.002756118774414,29.199447631835938,-29.199440002441406,0.05285006761550903,94.71499633789062,0.0012010001810267568,0.12010002136230469,20.367366790771484
5,1,Bass,4.294660568237305,-4.294660568237305,0.030417978763580322,96.95819854736328,0.2711329460144043,27.11329460144043,19.9771671295166,-19.97716522216797,0.14664095640182495,85.33590698242188,0.009952697902917862,0.995269775390625,16.098697662353516
5,2,Drums,3.9291434288024902,-3.9291441440582275,0.05171775817871094,94.8282241821289,0.28808173537254333,28.80817413330078,23.95244598388672,-23.952457427978516,0.1814570426940918,81.85429382324219,0.0040087890811264515,0.40087890625,20.42708396911621
