idx,ch,stem,SIRB_in,LTR_in,U_in,U0_in,U_legacy_in,EXP_in,EXP0_in,EXP_legacy_in,RBR_in,RBRpct_in,SIRB_out,LTR_out,U_out,U0_out,U_legacy_out,EXP_out,EXP0_out,EXP_legacy_out,RBR_out,RBRpct_out,BR
0,0,Vocal,15.40846061706543,-15.40845012664795,0.01893727108836174,0.01893727108836174,0.018357492983341217,98.10626983642578,98.10626983642578,98.16424560546875,0.027978848665952682,2.797884941101074,27.076778411865234,-27.07672882080078,0.017766959965229034,0.0177669245749712,0.018064700067043304,98.22330474853516,98.22330474853516,98.19353485107422,0.001956478226929903,0.19564782083034515,12.534384727478027
0,1,Bass,17.542253494262695,-17.5422306060791,0.11572378128767014,0.11572357267141342,0.09533397108316422,88.42761993408203,88.42764282226562,90.46659851074219,0.017305904999375343,1.7305904626846313,6.111059665679932,-6.111058712005615,0.9203536510467529,0.8657366037368774,0.8625455498695374,7.964634895324707,13.426340103149414,13.745445251464844,0.19668816030025482,19.66881561279297,42.35771560668945
0,2,Drums,30.38214111328125,-30.38196563720703,0.0005490720504894853,0.0005490718758665025,0.000775906431954354,99.9450912475586,99.9450912475586,99.92240905761719,0.0009149511461146176,0.09149511158466339,17.918088912963867,-17.918094635009766,0.24542567133903503,0.24542547762393951,0.24887274205684662,75.45742797851562,75.45745086669922,75.11272430419922,0.01589398831129074,1.5893988609313965,1.1425352096557617
1,0,Vocal,13.787598609924316,-13.787601470947266,0.00834906566888094,0.008349057286977768,0.009176293388009071,99.16509246826172,99.16509246826172,99.08236694335938,0.04012849181890488,4.0128493309021,16.887723922729492,-16.887720108032227,0.683797299861908,0.6827964782714844,0.6895266771316528,31.620269775390625,31.720352172851562,31.047332763671875,0.02006438747048378,2.006438732147217,49.05267333984375
1,1,Bass,23.651260375976562,-23.65129280090332,0.041065286844968796,0.04106521233916283,0.04403257742524147,95.89347076416016,95.89347839355469,95.59674072265625,0.004295379389077425,0.42953795194625854,30.403717041015625,-30.403629302978516,0.03564618155360222,0.03564601391553879,0.03920070827007294,96.43537902832031,96.43539428710938,96.07992553710938,0.0009104199125431478,0.09104198962450027,6.776429176330566
1,2,Drums,19.36960220336914,-19.369611740112305,0.00030699692433699965,0.000306996691506356,0.0,99.96929931640625,99.96929931640625,100.0,0.011430018581449986,1.143001914024353,22.404985427856445,-22.405006408691406,0.15245495736598969,0.15245473384857178,0.15325801074504852,84.75450134277344,84.75452423095703,84.6741943359375,0.005714945029467344,0.5714945197105408,6.505711555480957
2,0,Vocal,23.819313049316406,-23.819255828857422,0.006959633436053991,0.006959631107747555,0.007630669511854649,99.30403900146484,99.30403900146484,99.2369384765625,0.004133034497499466,0.4133034348487854,13.51119613647461,-13.511198997497559,0.711837112903595,0.711643636226654,0.7149674892425537,28.816287994384766,28.835636138916016,28.503250122070312,0.04265299439430237,4.265299320220947,41.58307647705078
2,1,Bass,27.99541664123535,-27.995269775390625,0.026601046323776245,0.026601046323776245,0.029324756935238838,97.33988952636719,97.33988952636719,97.06752014160156,0.0015840521082282066,0.15840521454811096,6.840875625610352,-6.840875625610352,0.8265101909637451,0.7762510180473328,0.7963272929191589,17.348979949951172,22.37489891052246,20.367271423339844,0.1714806854724884,17.148069381713867,29.1439266204834
2,2,Drums,28.291349411010742,-28.291301727294922,0.002835423918440938,0.0028354236856102943,0.009404907934367657,99.7164535522461,99.7164535522461,99.05950927734375,0.0014798534102737904,0.1479853391647339,15.05929946899414,-15.059300422668457,0.3398478627204895,0.33983153104782104,0.35455241799354553,66.01521301269531,66.016845703125,64.54476165771484,0.03025028668344021,3.025028705596924,-0.15865668654441833
3,0,Vocal,23.9071044921875,-23.907058715820312,0.012432693503797054,0.012432693503797054,0.01294680219143629,98.75672912597656,98.75672912597656,98.705322265625,0.004050680436193943,0.405068039894104,31.9815673828125,-31.981403350830078,0.0008118110126815736,0.0008118099649436772,0.0013337384443730116,99.91881561279297,99.91881561279297,99.86663055419922,0.0006333026103675365,0.0633302628993988,8.21567153930664
