Method,SI-SDR,SIR,Delta SIR,SAR,SIR(B),Delta SIR(B),EXP (%)
Reference,15.634184579411013,33.58852827878819,0.0,16.006240398603975,23.980931466023126,0.0,91.38481656153998
KAMIR,4.635399985932882,38.739970799971914,5.151442521183725,4.759796073116572,17.291323856776582,-6.6896076092465435,76.6192996374766
CAE,19.463392985076204,48.98125010892661,15.39272183013842,19.50027317447064,32.99073175132275,9.009800285299622,96.03073219617208
cGANIR,6.205760739291306,41.52386939780738,7.935341119019192,6.278294866247773,22.356897146155436,-1.6240343198676896,81.78913132270178
HTDemucs,6.56977569087415,34.03940191820499,0.45087363941679826,6.872864903109703,20.709436824469208,-3.271494641553918,78.28168744146824
LDWT (Ours),31.155559703467702,64.27965678957187,30.691128510783685,31.171682597706265,40.93584128300349,16.954909816980365,77.86427145044009
